Location,Mean_MinTemp,Mean_MaxTemp
Albury,9.53060416,22.64087157
Melbourne,10.82986718,20.623405
Sydney,14.88336484,23.18293182
Brisbane,16.42380653,26.44837999
Canberra,6.821865889,20.97663851
Adelaide,12.57950486,22.89893417
Perth,12.92270592,25.03483709
